chrom	chrompos	abspos	C10_S10_R1_001	C100_S100_R1_001	C101_S101_R1_001	C103_S103_R1_001	C104_S104_R1_001	C105_S105_R1_001	C106_S106_R1_001	C107_S107_R1_001	C108_S108_R1_001	C109_S109_R1_001	C11_S11_R1_001	C110_S110_R1_001	C111_S111_R1_001	C112_S112_R1_001	C113_S113_R1_001	C114_S114_R1_001	C115_S115_R1_001	C116_S116_R1_001	C117_S117_R1_001	C118_S118_R1_001	C119_S119_R1_001	C120_S120_R1_001	C121_S121_R1_001	C122_S122_R1_001
1	21126185	21126185	2.20645493238205	240.157334104822	77.5952218831707	140.677829733059	151.994428044546	154.763464976108	116.025941378272	171.295800567982	144.874673193982	235.341401859166	98.5996484347317	205.200154140826	189.589693908786	79.923683736941	137.32134118972	143.069283329244	141.116765350517	127.594465910932	267.006701575202	221.33529096279	155.125974521526	159.255688613333	302.419744724301	166.143287918633
1	21698065	21698065	3.32021447457179	248.527579636683	99.5366018722594	213.209974951722	141.302903494725	179.219398138098	127.300421833678	144.067614348158	184.605376717563	205.445023750516	54.6306573780797	162.990838834819	170.544559772545	49.2660882400176	108.471126565383	179.107938503948	132.068000457214	202.416997997607	240.842590286337	219.831572082662	203.196757249922	143.641062714442	267.318202542625	171.952510416644
1	22303597	22303597	0.0639412150220423	230.457702053902	61.6628773662674	187.920508681024	164.1688893696	176.670945317091	149.900808163242	180.302995081052	175.110421783452	206.465361440613	55.6097471483413	152.233561968479	163.480328249073	63.3877893178584	127.408371834848	155.568473107593	140.690342970335	158.859082232871	302.143010941071	208.58613898417	191.800054730668	135.036296262184	274.098561445228	153.905876805985
1	22867591	22867591	1.06086801933327	232.667982531536	102.006292819417	186.58499113083	106.313587660512	153.105257727109	161.228235771441	141.313644675231	196.34157103298	197.587035761989	67.9735111724582	174.132452143872	162.456517578773	47.8436641650064	116.274912898042	149.376900552738	156.564817323871	190.40363105667	263.529960064458	216.443027617993	165.830073112437	146.852993510237	250.317834098471	139.11403815437
1	23407095	23407095	0.435996692337769	256.092283438768	91.9555785171998	175.379878395077	157.204908599671	176.869261078114	153.881130776591	181.94509164234	174.118265252788	219.437782674296	38.9159818006027	147.991360062497	161.582377826394	57.9488963027128	114.692527232384	154.584161424584	129.357180194391	165.313502218151	266.364610769736	174.175773692725	184.069821865854	156.262752923766	232.764611902208	133.765588518878
1	23983068	23983068	1.78129145519244	232.496848721821	68.0076397548368	179.652404354888	155.695218424953	149.353625325568	166.608657102992	149.911832119108	180.277663035327	228.501862837585	43.4771558516317	195.241855846643	168.672743666224	136.40853405224	122.961936577704	178.753210216917	160.564601591183	173.275564459822	281.275566608456	203.160682138173	206.56277697718	165.577422167186	278.766664173244	179.123236060614
1	24666388	24666388	0.778034042880617	235.494227732398	103.601421084425	169.278024136993	143.213221212869	130.985232506267	150.595821398356	141.702260184596	195.098859008882	205.908367546923	58.7878016566345	148.238798470362	152.502369200658	72.0884376294408	93.8817814784258	157.679570076925	158.530243457881	171.510528181515	246.952785430982	202.375730744782	187.35390060919	148.843894411969	285.12095659955	163.538133993396
1	25238654	25238654	1.37549195707464	258.050264229383	76.7271919689177	172.230091479589	156.621405957048	134.447267015583	151.007864161375	170.187498368333	199.940255304749	221.852480017133	47.9741906398859	177.002651041411	165.554768983381	90.098197484939	165.046724613232	187.621831093077	153.192818294715	179.10836757768	288.324077597488	256.059659282512	197.849588795904	146.708047061733	273.545900356631	134.324076958244
1	25879932	25879932	0.943574501467662	232.143056227165	75.0410980204487	163.300563433526	149.199765053018	182.683316822428	166.86496539583	169.91372599547	211.827605472972	227.784516379148	56.1251049413968	165.944654712852	129.475056766433	103.869261208796	168.838527338916	172.902610057025	109.887867927641	163.714859286686	250.671230487777	211.261318656191	209.604360719486	145.343929832375	266.014606382588	154.557334637429
1	26437155	26437155	2.5978099910907	221.945099111035	80.8202612138995	196.1931375502	146.253227681659	176.941994809748	184.464400140661	132.254220525359	201.10529113274	217.831672244642	36.562017753568	179.064327562888	150.582054442817	61.1277282734419	99.3612281452297	143.167861900824	158.956113155113	151.854939285823	301.288538345638	231.978280428823	217.962344772763	123.061219101403	252.829129040422	154.865388023566
1	27036862	27036862	3.6880167956992	278.033898742301	171.06435003383	325.81217133422	192.51558934473	153.280775317771	143.792766995703	178.025343867593	200.363605554206	228.673363270369	48.1783465479948	173.711791765025	185.445472426481	91.6188117461802	153.055546225958	160.620542578013	173.635644031656	320.662179930445	246.666368402013	262.778294646284	223.597450247396	130.067124350485	240.419003572012	155.188828462518
1	27644605	27644605	0.9526132860043	240.746349024965	170.995717731694	433.792267489506	149.241733379979	186.216603009106	163.814339318929	150.987730638338	194.232076870207	230.699101205438	57.2956522911768	171.561189704333	161.005904431765	93.3100882947166	148.02213220572	155.34067023281	138.207991689348	359.617730902967	282.65260644549	226.914771078664	217.924029124244	163.071007708029	259.632256562098	142.940641292062
1	28228164	28228164	1.32539634281772	233.490402902495	177.096659594064	341.740377017541	136.951649679258	148.755818194264	167.779563806819	149.408905275084	162.461644561519	228.727820172701	82.2602723659597	176.669545978681	177.68039593166	104.953599626709	136.617655479583	156.377158693053	126.146092756624	316.320045222313	262.396084134738	191.358553051795	208.551214807774	147.066172255716	262.105135169666	148.142836424466
1	28838240	28838240	0.842477565407703	281.31211256917	169.815652977724	345.585540620077	142.11090633395	173.563472995676	139.091885105538	168.138752899783	164.456107996453	242.692527104405	75.4233844459153	192.725783941203	171.236697852899	62.1657440160308	137.887560351057	193.055420448231	155.157270107337	354.294564033471	318.356421438377	216.047840897024	203.134585994641	164.548687392286	212.421957664043	157.075747047618
1	29459304	29459304	0.0704980929814252	233.433572495967	159.48432051099	366.243337852209	137.596829491544	136.796630884307	151.899973066094	160.336281353207	161.175984349912	232.54991887539	35.6743506623029	181.860520396264	142.529680947329	74.9058470989638	128.753471088562	171.431766397839	122.909311462891	317.575041987964	266.69890753465	221.60248965539	186.069123970094	144.19333039994	124.310563932741	165.469921529268
1	30152497	30152497	0.0613636926983722	265.519607509647	139.997516894829	325.023186735733	153.427694469644	166.885583199065	152.622184213852	148.204436332829	163.718923197712	210.163918385744	65.1306290040355	179.630829624273	133.78502560741	8.11879589380284	94.091052708635	144.566818922549	138.96318448872	285.186142931967	283.277908175759	217.453254356654	159.488825068358	124.902813844382	120.416858576899	162.367399609928
